Level,Deployment,StartTime,EndTime,Annotation,Status,Redmine#,Todo,reviewed_by
ctdpf_optode_sample,1,2014-09-27T13:29:00,2014-11-04T16:05:51,,AVAILABLE,,,leila
ctdpf_optode_sample,1,2014-11-04T16:05:51,2014-11-05T19:32:18,,NOT_AVAILABLE,,find out if known issue,leila
ctdpf_optode_sample,1,2014-11-05T19:32:18,2014-11-14T18:36:30,,AVAILABLE,,,leila
ctdpf_optode_sample,1,2014-11-14T18:36:30,2014-11-17T18:24:38,,NOT_AVAILABLE,,find out if known issue,leila
ctdpf_optode_sample,1,2014-11-17T18:24:38,2014-12-07T20:59:39,,AVAILABLE,,,leila
ctdpf_optode_sample,1,2014-12-07T20:59:39,2014-12-16T21:17:45,,NOT_AVAILABLE,,find out if known issue,leila
ctdpf_optode_sample,1,2014-12-16T21:17:45,2015-02-01T20:36:30,,AVAILABLE,,,leila
ctdpf_optode_sample,1,2015-02-01T20:36:30,2015-02-03T09:57:13,,NOT_AVAILABLE,,find out if known issue,leila
ctdpf_optode_sample,1,2015-02-03T09:57:13,2015-03-07T23:06:52,,AVAILABLE,,,leila
ctdpf_optode_sample,1,2015-03-07T23:06:52,2015-03-09T07:39:20,,NOT_AVAILABLE,,find out if known issue,leila
ctdpf_optode_sample,1,2015-03-09T07:39:20,2015-07-09T00:00:00,,AVAILABLE,,,leila
ctdpf_optode_sample,2,2015-07-09T00:07:00,2016-07-14T00:00:00,,AVAILABLE,,,leila
ctdpf_optode_sample,3,2016-07-14T21:18:00,2017-02-15T14:43:05,,AVAILABLE,,,leila
ctdpf_optode_sample,3,2017-02-15T14:43:05,2017-02-16T23:08:13,,NOT_AVAILABLE,,find out if known issue,leila
