Level,Deployment,StartTime,EndTime,Annotation,Status,Redmine#,Todo,ReviewedBy,ReviewedDate
corrected_dissolved_oxygen,D00001,2015-06-04T12:00:00,2015-07-08T19:00:00,"Data values are within plausible ranges, but lower than usual values throughout the entire water column during this time period make the values suspect.",SUSPECT,,,friedrich,2017-04-17T00:00:00Z
seawater_conductivity,D00002,2016-02-18T09:20:00,2016-03-09T04:42:00,"Data values are within plausible ranges, but lower than usual L0 conductivity values throughout the entire water column during this time period make the values suspect.",SUSPECT,,,friedrich,2017-04-17T00:00:00Z
conductivity,D00002,2016-02-18T09:20:00,2016-03-09T04:42:00,"Data values are within plausible ranges, but lower than usual L0 conductivity values throughout the entire water column during this time period make the values suspect.",SUSPECT,,,friedrich,2017-04-17T00:00:00Z
practical_salinity,D00002,2016-02-18T09:20:00,2016-03-09T04:42:00,"Data values are within plausible ranges, but lower than usual L0 conductivity values throughout the entire water column during this time period make the values suspect.",SUSPECT,,,friedrich,2017-04-17T00:00:00Z
density,D00002,2016-02-18T09:20:00,2016-03-09T04:42:00,"Data values are within plausible ranges, but lower than usual L0 conductivity values throughout the entire water column during this time period make the values suspect.",SUSPECT,,,friedrich,2017-04-17T00:00:00Z
corrected_dissolved_oxygen,D00002,2016-02-18T09:20:00,2016-03-09T04:42:00,"Data values are within plausible ranges, but lower than usual L0 conductivity values, leading to suspect salinity throughout the entire water column during this time period make the values suspect.",SUSPECT,,,friedrich,2017-04-17T00:00:00Z
seawater_conductivity,D00002,2016-04-25T02:24:00,2016-05-01T15:30:00,"Data values are within plausible ranges, but lower than usual L0 conductivity values throughout the entire water column during this time period make the values suspect.",SUSPECT,,,friedrich,2017-04-17T00:00:00Z
conductivity,D00002,2016-04-25T02:24:00,2016-05-01T15:30:00,"Data values are within plausible ranges, but lower than usual values throughout the entire water column during this time period make the values suspect.",SUSPECT,,,friedrich,2017-04-17T00:00:00Z
practical_salinity,D00002,2016-04-25T02:24:00,2016-05-01T15:30:00,"Data values are within plausible ranges, but lower than usual L0 conductivity values throughout the entire water column during this time period make the values suspect.",SUSPECT,,,friedrich,2017-04-17T00:00:00Z
density,D00002,2016-04-25T02:24:00,2016-05-01T15:30:00,"Data values are within plausible ranges, but lower than usual L0 conductivity values throughout the entire water column during this time period make the values suspect.",SUSPECT,,,friedrich,2017-04-17T00:00:00Z
corrected_dissolved_oxygen,D00002,2016-04-25T02:24:00,2016-05-01T15:30:00,"Data values are within plausible ranges, but lower than usual L0 conductivity values, leading to suspect salinity throughout the entire water column during this time period make the values suspect.",SUSPECT,,,friedrich,2017-04-17T00:00:00Z
corrected_dissolved_oxygen,D00002,2016-05-06T11:32:00,2016-05-06T21:26:00,"Data values are within plausible ranges, but lower than usual values throughout the entire water column during this time period make the values suspect.",SUSPECT,,,friedrich,2017-04-17T00:00:00Z
corrected_dissolved_oxygen,D00002,2016-06-10T17:47:00,2016-06-12T14:01:00,"Data values are within plausible ranges, but lower than usual values throughout the entire water column during this time period make the values suspect.",SUSPECT,,,friedrich,2017-04-17T00:00:00Z
corrected_dissolved_oxygen,D00002,2016-07-07T22:49:31,2016-07-09T15:29:12,"Data values are within plausible ranges, but lower than usual values throughout the entire water column during this time period make the values suspect.",SUSPECT,,,friedrich,2017-04-17T00:00:00Z
corrected_dissolved_oxygen,D00003,2016-08-30T15:06:00,2016-09-04T01:39:00,"Data values are within plausible ranges, but lower than usual values throughout the entire water column during this time period make the values suspect.",SUSPECT,,,friedrich,2017-04-17T00:00:00Z
corrected_dissolved_oxygen,D00003,2016-09-14T08:20:00,2016-09-14T22:00:00,"Data values are within plausible ranges, but lower than usual values throughout the entire water column during this time period make the values suspect.",SUSPECT,,,friedrich,2017-04-17T00:00:00Z
corrected_dissolved_oxygen,D00003,2017-01-11T21:41:00,2017-01-12T10:13:00,"Data values are within plausible ranges, but lower than usual values throughout the entire water column during this time period make the values suspect.",SUSPECT,,,friedrich,2017-04-17T00:00:00Z
seawater_conductivity,D00003,2017-01-12T13:00:00,2017-01-12T17:00:00,"Data values are within plausible ranges, but lower than usual L0 conductivity values throughout the entire water column during this time period make the values suspect.",SUSPECT,,,friedrich,2017-04-17T00:00:00Z
conductivity,D00003,2017-01-12T13:00:00,2017-01-12T17:00:00,"Data values are within plausible ranges, but lower than usual values throughout the entire water column during this time period make the values suspect.",SUSPECT,,,friedrich,2017-04-17T00:00:00Z
practical_salinity,D00003,2017-01-12T13:00:00,2017-01-12T17:00:00,"Data values are within plausible ranges, but lower than usual L0 conductivity values throughout the entire water column during this time period make the values suspect.",SUSPECT,,,friedrich,2017-04-17T00:00:00Z
density,D00003,2017-01-12T13:00:00,2017-01-12T17:00:00,"Data values are within plausible ranges, but lower than usual L0 conductivity values throughout the entire water column during this time period make the values suspect.",SUSPECT,,,friedrich,2017-04-17T00:00:00Z
corrected_dissolved_oxygen,D00003,2017-01-11T19:46:39,2017-01-12T17:00:00,"Data values are within plausible ranges, but lower than usual values throughout the entire water column during this time period make the values suspect. In addition, conductivity and salinity are suspect during this time range.",SUSPECT,,,friedrich,2017-04-17T00:00:00Z
corrected_dissolved_oxygen,D00003,2017-01-13T08:13:12,2017-01-13T21:32:44,"Data values are within plausible ranges, but lower than usual values throughout the entire water column during this time period make the values suspect.",SUSPECT,,,friedrich,2017-04-17T00:00:00Z
pressure,,,,,,,,,
seawater_pressure,,,,,,,,,
temperature,,,,,,,,,
seawater_temperature,,,,,,,,,
