Level,Deployment,StartTime,EndTime,Annotation,Status,Redmine#,Todo,reviewed_by
seawater_density,2,2016-02-18T09:20:00,2016-03-09T04:42:00,"Data values are within plausible ranges, but lower than usual L0 conductivity values throughout the entire water column during this time period make the values suspect.",SUSPECT,,,friedrich
practical_salinity,2,2016-02-18T09:20:00,2016-03-09T04:42:00,"Data values are within plausible ranges, but lower than usual L0 conductivity values throughout the entire water column during this time period make the values suspect.",SUSPECT,,,friedrich
seawater_conductivity,2,2016-02-18T09:20:00,2016-03-09T04:42:00,"Data values are within plausible ranges, but lower than usual L0 conductivity values throughout the entire water column during this time period make the values suspect.",SUSPECT,,,friedrich
corrected_dissolved_oxygen,2,2016-02-18T09:20:00,2016-03-09T04:42:00,"Data values are within plausible ranges, but lower than usual L0 conductivity values throughout the entire water column during this time period make the values suspect.",SUSPECT,,,friedrich
seawater_density,2,2016-04-25T02:24:00,2016-05-01T15:30:00,"Data values are within plausible ranges, but lower than usual L0 conductivity values throughout the entire water column during this time period make the values suspect.",SUSPECT,,,friedrich
practical_salinity,2,2016-04-25T02:24:00,2016-05-01T15:30:00,"Data values are within plausible ranges, but lower than usual L0 conductivity values throughout the entire water column during this time period make the values suspect.",SUSPECT,,,friedrich
seawater_conductivity,2,2016-04-25T02:24:00,2016-05-01T15:30:00,"Data values are within plausible ranges, but lower than usual L0 conductivity values throughout the entire water column during this time period make the values suspect.",SUSPECT,,,friedrich
corrected_dissolved_oxygen,2,2016-04-25T02:24:00,2016-05-01T15:30:00,"Data values are within plausible ranges, but lower than usual L0 conductivity values throughout the entire water column during this time period make the values suspect.",SUSPECT,,,friedrich
seawater_density,3,2017-01-12T13:00:00,2017-01-12T17:00:00,"Data values are within plausible ranges, but lower than usual L0 conductivity values throughout the entire water column during this time period make the values suspect.",SUSPECT,,,friedrich
practical_salinity,3,2017-01-12T13:00:00,2017-01-12T17:00:00,"Data values are within plausible ranges, but lower than usual L0 conductivity values throughout the entire water column during this time period make the values suspect.",SUSPECT,,,friedrich
seawater_conductivity,3,2017-01-12T13:00:00,2017-01-12T17:00:00,"Data values are within plausible ranges, but lower than usual L0 conductivity values throughout the entire water column during this time period make the values suspect.",SUSPECT,,,friedrich
corrected_dissolved_oxygen,3,2017-01-12T13:00:00,2017-01-12T17:00:00,"Data values are within plausible ranges, but lower than usual L0 conductivity values throughout the entire water column during this time period make the values suspect.",SUSPECT,,,friedrich
